,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,2.507197e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.816880e-001,1.017970e+002,1.028401e+002,,,,,,
,,,,,,,2.572159e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.860210e-001,1.023630e+002,1.028386e+002,,,,,,
,,,,,,,2.638803e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.896420e-001,1.032230e+002,1.028373e+002,,,,,,
,,,,,,,2.707174e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.918600e-001,1.054390e+002,1.028470e+002,,,,,,
,,,,,,,2.777317e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.849277e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.923102e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.998839e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.076539e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.156252e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.238030e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.321928e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.407999e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.496300e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.586889e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.679825e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.775169e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.872983e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.973332e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.076281e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.181897e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.290250e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.401410e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.515451e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.632446e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.752472e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,4.875608e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.001935e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.131535e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.264493e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.400896e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.540833e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.684395e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.831678e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,5.982776e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.137790e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.296820e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.459970e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.627348e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.799062e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,6.975225e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,7.155953e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,7.341363e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,7.531578e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,7.726721e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,7.926920e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,8.132306e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,8.343013e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,8.559181e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,8.780948e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,9.008462e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,9.241871e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,9.481328e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,9.726989e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,9.979014e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.023757e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.050283e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.077495e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.105413e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.134054e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.163438e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.193582e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.224508e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.256235e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.288784e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.322176e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.356434e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.391579e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.427635e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.464625e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.502573e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.541504e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.581445e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.622420e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.664457e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.707583e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.751826e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.797216e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.843782e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.891554e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.940564e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,1.990844e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.042427e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.095346e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.149636e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.205333e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.262473e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.321094e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.381233e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.442931e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.506227e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.571163e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.637782e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.706127e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.776242e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.848175e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.921971e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,2.997679e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.075349e+002,0.000000e+000,2.246693e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.155031e+002,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,,,,,,,,,
,,,,,,,3.236778e+002,1.798712e-008,2.246692e-001,1.111422e-006,9.108664e+002,,,,,,,,,,,
,,,,,,,3.320642e+002,1.351459e-007,2.246699e-001,8.139745e-006,9.108664e+002,,,,,,,,,,,
,,,,,,,3.406680e+002,5.171329e-007,2.246725e-001,3.035993e-005,9.108665e+002,,,,,,,,,,,
