,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,2.64E+01,1.78E-04,4.93E-01,1.35E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.71E+01,1.71E-04,4.93E-01,1.27E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.78E+01,1.62E-04,4.93E-01,1.17E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.85E+01,1.49E-04,4.93E-01,1.05E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.92E+01,1.34E-04,4.93E-01,9.20E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.00E+01,1.18E-04,4.93E-01,7.86E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.08E+01,1.00E-04,4.93E-01,6.53E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.16E+01,8.30E-05,4.94E-01,5.26E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.24E+01,6.63E-05,4.94E-01,4.10E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.32E+01,5.11E-05,4.94E-01,3.08E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.41E+01,3.77E-05,4.94E-01,2.21E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.50E+01,2.64E-05,4.94E-01,1.51E-02,1.58E+03,,,,,,,,,,
,,,,,,,3.59E+01,1.74E-05,4.94E-01,9.68E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.68E+01,1.05E-05,4.94E-01,5.69E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.78E+01,5.65E-06,4.94E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.87E+01,2.47E-06,4.94E-01,1.28E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.97E+01,8.79E-07,4.94E-01,4.42E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.08E+01,2.50E-07,4.94E-01,1.22E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.18E+01,7.66E-08,4.94E-01,3.66E-05,1.58E+03,,,,,,,,,,
,,,,,,,4.29E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,4.40E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,4.52E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,4.63E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,4.75E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,4.88E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.00E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.13E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.26E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.40E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.54E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
