,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,4.632446e+001,1.787288e-004,5.814086e-001,7.716391e-002,1.876934e+003,,,,,,,,,,,
,,,,,,,4.752472e+001,1.737404e-004,5.816201e-001,7.311579e-002,1.877025e+003,,,,,,,,,,,
,,,,,,,4.875608e+001,1.688350e-004,5.818310e-001,6.925698e-002,1.877112e+003,,,,,,,,,,,
,,,,,,,5.001935e+001,1.639878e-004,5.820412e-001,6.556972e-002,1.877197e+003,,,,,,,,,,,
,,,,,,,5.131535e+001,1.589057e-004,5.822505e-001,6.193300e-002,1.877280e+003,,,,,,,,,,,
,,,,,,,5.264493e+001,1.535823e-004,5.824582e-001,5.834648e-002,1.877360e+003,,,,,,,,,,,
,,,,,,,5.400896e+001,1.480459e-004,5.826640e-001,5.482270e-002,1.877437e+003,,,,,,,,,,,
,,,,,,,5.540833e+001,1.422983e-004,5.828671e-001,5.136351e-002,1.877511e+003,,,,,,,,,,,
,,,,,,,5.684395e+001,1.364274e-004,5.830672e-001,4.800068e-002,1.877583e+003,,,,,,,,,,,
,,,,,,,5.831678e+001,1.305129e-004,5.832637e-001,4.475998e-002,1.877651e+003,,,,,,,,,,,
,,,,,,,5.982776e+001,1.246243e-004,5.834565e-001,4.166102e-002,1.877716e+003,,,,,,,,,,,
,,,,,,,6.137790e+001,1.188275e-004,5.836451e-001,3.871995e-002,1.877778e+003,,,,,,,,,,,
,,,,,,,6.296820e+001,1.131770e-004,5.838296e-001,3.594734e-002,1.877838e+003,,,,,,,,,,,
,,,,,,,6.459970e+001,1.077292e-004,5.840097e-001,3.335284e-002,1.877894e+003,,,,,,,,,,,
,,,,,,,6.627348e+001,1.025418e-004,5.841856e-001,3.094504e-002,1.877948e+003,,,,,,,,,,,
,,,,,,,6.799062e+001,9.769370e-005,5.843575e-001,2.873741e-002,1.877999e+003,,,,,,,,,,,
,,,,,,,6.975225e+001,9.326684e-005,5.845256e-001,2.674232e-002,1.878048e+003,,,,,,,,,,,
,,,,,,,7.155953e+001,8.936552e-005,5.846905e-001,2.497655e-002,1.878095e+003,,,,,,,,,,,
,,,,,,,7.341363e+001,8.604533e-005,5.848530e-001,2.344124e-002,1.878140e+003,,,,,,,,,,,
,,,,,,,7.531578e+001,8.333639e-005,5.850140e-001,2.212986e-002,1.878183e+003,,,,,,,,,,,
,,,,,,,7.726721e+001,8.129487e-005,5.851745e-001,2.104253e-002,1.878225e+003,,,,,,,,,,,
,,,,,,,7.926920e+001,7.973265e-005,5.853355e-001,2.011693e-002,1.878266e+003,,,,,,,,,,,
,,,,,,,8.132306e+001,7.871083e-005,5.854982e-001,1.935757e-002,1.878307e+003,,,,,,,,,,,
,,,,,,,8.343013e+001,7.804219e-005,5.856633e-001,1.870839e-002,1.878347e+003,,,,,,,,,,,
,,,,,,,8.559181e+001,7.754239e-005,5.858314e-001,1.811912e-002,1.878387e+003,,,,,,,,,,,
,,,,,,,8.780948e+001,7.705124e-005,5.860028e-001,1.754964e-002,1.878426e+003,,,,,,,,,,,
,,,,,,,9.008462e+001,7.638262e-005,5.861774e-001,1.695797e-002,1.878465e+003,,,,,,,,,,,
,,,,,,,9.241871e+001,7.538277e-005,5.863546e-001,1.631331e-002,1.878504e+003,,,,,,,,,,,
,,,,,,,9.481328e+001,7.399998e-005,5.865335e-001,1.560962e-002,1.878542e+003,,,,,,,,,,,
,,,,,,,9.726989e+001,7.229677e-005,5.867133e-001,1.486519e-002,1.878580e+003,,,,,,,,,,,
,,,,,,,9.979014e+001,7.029141e-005,5.868930e-001,1.408785e-002,1.878616e+003,,,,,,,,,,,
,,,,,,,1.023757e+002,6.808950e-005,5.870719e-001,1.330189e-002,1.878652e+003,,,,,,,,,,,
,,,,,,,1.050283e+002,6.578522e-005,5.872495e-001,1.252715e-002,1.878686e+003,,,,,,,,,,,
,,,,,,,1.077495e+002,6.345995e-005,5.874253e-001,1.177916e-002,1.878719e+003,,,,,,,,,,,
