,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
,,,,,,,3.658948e+001,1.957411e-003,8.721949e-001,1.069931e+000,1.944644e+003,,,,,,,,,,,
,,,,,,,3.750331e+001,1.913694e-003,8.739644e-001,1.020547e+000,1.945600e+003,,,,,,,,,,,
,,,,,,,3.843996e+001,1.860403e-003,8.757325e-001,9.679525e-001,1.946531e+003,,,,,,,,,,,
,,,,,,,3.940000e+001,1.799157e-003,8.774896e-001,9.132778e-001,1.947434e+003,,,,,,,,,,,
,,,,,,,4.038402e+001,1.731452e-003,8.792270e-001,8.574935e-001,1.948305e+003,,,,,,,,,,,
,,,,,,,4.139262e+001,1.658534e-003,8.809369e-001,8.013670e-001,1.949142e+003,,,,,,,,,,,
,,,,,,,4.242641e+001,1.582012e-003,8.826121e-001,7.457678e-001,1.949941e+003,,,,,,,,,,,
,,,,,,,4.348601e+001,1.502788e-003,8.842464e-001,6.911594e-001,1.950702e+003,,,,,,,,,,,
,,,,,,,4.457208e+001,1.422578e-003,8.858348e-001,6.383268e-001,1.951424e+003,,,,,,,,,,,
,,,,,,,4.568528e+001,1.342978e-003,8.873738e-001,5.879259e-001,1.952106e+003,,,,,,,,,,,
,,,,,,,4.682627e+001,1.265665e-003,8.888614e-001,5.405789e-001,1.952750e+003,,,,,,,,,,,
,,,,,,,4.799577e+001,1.191682e-003,8.902977e-001,4.965780e-001,1.953356e+003,,,,,,,,,,,
,,,,,,,4.919447e+001,1.122817e-003,8.916842e-001,4.564812e-001,1.953926e+003,,,,,,,,,,,
,,,,,,,5.042311e+001,1.059698e-003,8.930242e-001,4.203223e-001,1.954464e+003,,,,,,,,,,,
,,,,,,,5.168243e+001,1.002764e-003,8.943220e-001,3.880483e-001,1.954973e+003,,,,,,,,,,,
,,,,,,,5.297321e+001,9.529428e-004,8.955828e-001,3.597829e-001,1.955455e+003,,,,,,,,,,,
,,,,,,,5.429622e+001,9.085071e-004,8.968131e-001,3.346484e-001,1.955914e+003,,,,,,,,,,,
,,,,,,,5.565228e+001,8.709259e-004,8.980189e-001,3.129884e-001,1.956353e+003,,,,,,,,,,,
,,,,,,,5.704220e+001,8.384853e-004,8.992063e-001,2.939877e-001,1.956774e+003,,,,,,,,,,,
,,,,,,,5.846684e+001,8.097330e-004,9.003799e-001,2.769888e-001,1.957181e+003,,,,,,,,,,,
